url,title
https://www.youtube.com/watch?v=CCCnoZTp-7U,"Ethan Mollick: How Educational Institutions Can Harness the Power of AI | WSB"
https://www.youtube.com/watch?v=hQZLCFffBIU,"Anthony Robles on Finding Motivation Through Overcoming Adversity"
https://www.youtube.com/watch?v=hZxpKLoVZqA,"Nicholas Burns on the West's Response to China's Aggressive Expansion"
https://www.youtube.com/watch?v=EM5OxbL2SM0,"Dr. Daniel L. Shapiro on How to Navigate Conflict And Drive Growth for Healthcare Professionals"
https://www.youtube.com/watch?v=EVKH3yyBJCQ,"Komal Ahmad on Building A Partnership Network to Help Solve World Hunger"
https://www.youtube.com/watch?v=6AOiVdTJPzo,"Horst Schulze on Winning Over Customers by Exceeding Expectations"
https://www.youtube.com/watch?v=uy30kGARXpk,"Shane Battier on Transformational Leadership | WSB"
https://www.youtube.com/watch?v=DNnToJOZ8SM,"Michele Thornton Ghee on Perfecting a Moneymaking Mindset to Reach Success & Uplift Your Community"
https://www.youtube.com/watch?v=ixtoGQTif_w,"Ezra Klein: How Focus Testing & Clickbait Headlines are Polarizing Audiences"
https://www.youtube.com/watch?v=HqiamKFlZPw,"David Cameron: Helping Ukraine by Leveraging an Economic Advantage Over Russia"
https://www.youtube.com/watch?v=nT4jbcvbQ5U,"Rishi Sunak: Speaker Reel"
https://www.youtube.com/watch?v=qzfcKhCMyaw,"Dr. Daniel L. Shapiro on Transformational Communication: The Secret Language of Connection"
https://www.youtube.com/watch?v=H-Pjmlwu52o,"David Cameron: Speaker Reel"
https://www.youtube.com/watch?v=oK-up4Or4SY,"Unstoppable  - Official Trailer | Prime Video"
https://www.youtube.com/watch?v=KeMDUOsCdw4,"Chris Christie on Ending Judgment in the U.S. | WSB"
https://www.youtube.com/watch?v=rvbedp4VA50,"Sophia Bush on Leading with Purpose: From Hollywood to Global Advocacy"
https://www.youtube.com/watch?v=v3zHCzpoRuQ,"Successful Sales Negotiation Techniques to Close More Deals with Dr. Daniel L. Shapiro"
https://www.youtube.com/watch?v=6nwoWIrJDsI,"Asa Hutchinson on His Experience Leading a Divided Government"
https://www.youtube.com/watch?v=7x6FZhx8sZk,"Dr. Daniel L. Shapiro — Unlock Hypergrowth: Tactics That Build Relationships for Long Term Success"
https://www.youtube.com/watch?v=7tz3qJMbo0M,"Ezra Klein: How Social Media Creates Polarization by Changing Our Identities"
https://www.youtube.com/watch?v=Z2N9UcX7nCY,"Dr. Daniel L. Shapiro: Generate Organizational Growth by Embracing Conflict"
https://www.youtube.com/watch?v=qTJ5rDXr79s,"Justin Berg on Keeping Score: How Tracking Progress Fuels Success"
https://www.youtube.com/watch?v=nhHkHhVeH6k,"Dr. Daniel L. Shapiro on Unlocking a Sales Mindset: How To Build Relationships"
https://www.youtube.com/watch?v=-aTdTeh7ICg,"Sophia Bush on Investing in the Women’s Economy: Bridging Gender Gaps"
https://www.youtube.com/watch?v=FPqC5QiQiPU,"Dr. Daniel L. Shapiro on The Art of Negotiation: Achieving Win-Win Outcomes in Business Deals"
https://www.youtube.com/watch?v=8dMSnbGxofw,"Sophia Bush on Establishing a Healthy Work-Life Balance"
https://www.youtube.com/watch?v=-0JoD4-MA5E,"Dr. Daniel L. Shapiro on Persuasive Communication: The Proven Formula to Influence & Inspire Others"
https://www.youtube.com/watch?v=Peu7QI2OLV4,"Tony Dungy on Why Great Leaders Need to Build Trust to Engage Their Teams"
https://www.youtube.com/watch?v=LdE5QUserow,"Gen. Keith Alexander on How AI Will Revolutionize the Military and Cybersecurity"
https://www.youtube.com/watch?v=t5VezLldi0A,"Ron Rivera on Creating a High-Performance Culture: Ensuring Buy-In and Driving Team Growth"
https://www.youtube.com/watch?v=XOFyqxIjz4Q,"Lisa Genova on Using Context Cues to Improve Your Memory"
https://www.youtube.com/watch?v=dMk2NfcyBzs,"Justin Berg on How Supportive Cultures Drive Innovation"
https://www.youtube.com/watch?v=ha5g9gKfs6k,"John Heilemann on Why the Polls Show the 2024 Election May Be Close"
https://www.youtube.com/watch?v=WlfmkNt2I_c,"Claire McCaskill on the Early Voting Outlook in the 2024 Election"
https://www.youtube.com/watch?v=OoYQW_Y-osY,"Ron Rivera on Unlocking Hyper-Growth: How Attitude, Preparation, and Effort Drive Success"
https://www.youtube.com/watch?v=7g2P-EuwSRo,"Kyle Carpenter on How to Overcome Life's Greatest Challenges with Resilience"
https://www.youtube.com/watch?v=G30JMxwG1OY,"Lt Col. Dan Rooney on Learning to Trust Your Instincts to Elevate Your Talents"
https://www.youtube.com/watch?v=FCP6Czy6ZEg,"Justin Berg on Unlocking Peak Performance with Job Crafting: A Framework to Optimize Your Role"
https://www.youtube.com/watch?v=_bl25WcKE4E,"Ron Rivera's Leadership Reflections: Insights for Enhancing Individual and Team Success"
https://www.youtube.com/watch?v=qm-HVTXtD1w,"Adm. William McRaven: Learn to Make Your Bed to Build Foundational Skills & Achieve Success"
https://www.youtube.com/watch?v=dL4dpgAZIoM,"Mike "Coach K" Krzyzewski: How to Motivate Top Talent & Develop Winning Teams"
https://www.youtube.com/watch?v=kcO4a7QnTtI,"John Kerry: Exclusive Speaker Reel | WSB"
https://www.youtube.com/watch?v=Vcv6SAihebk,"Justin Berg on Bottom-Up Innovation: A Strategic Approach to Evaluating Winning Ideas"
https://www.youtube.com/watch?v=uLvAgRXQ9JE,"Ron Rivera on Leadership Excellence: Key Lessons from Coaches that Drove Super Bowl Success"
https://www.youtube.com/watch?v=0H95ZqyZ1BM,"Walter Isaacson on Why Innovation Requires Supporting Risk-Takers and Accepting Failure"
https://www.youtube.com/watch?v=j-t4nCkEteE,"Justin Berg on Leveraging Peer Insights to Accurately Predict Successful Ideas"
https://www.youtube.com/watch?v=YSTDd2LI_hI,"Ron Rivera on Overcoming Obstacles to Achieve Success"
https://www.youtube.com/watch?v=Yw91sKZkwlM,"Justin Berg on Mastering Innovation in the Age of A.I. with Creative Forecasting"
https://www.youtube.com/watch?v=7heh8h-wTXM,"Adam Grant on Modeling Resilience: Why Leaders Should Prioritize Mental Wellness in the Workplace"
https://www.youtube.com/watch?v=xkiQUcRtztU,"Ron Rivera on Unlocking Potential: Cultivating Talent and Empowering Teams"
https://www.youtube.com/watch?v=HiCKAZy6VvI,"Justin Berg on Creating a Culture of Sustainable Innovation"
https://www.youtube.com/watch?v=nP2QpdCWVSc,"Justin Berg on Predicting the Success of New Ideas: Proven Strategies for Driving Innovation"
https://www.youtube.com/watch?v=w7vAqRIIqkA,"Tara VanDerveer: How to be an All-Star Teammate | WSB"
https://www.youtube.com/watch?v=pD4urfJZcOc,"Ron Rivera on Building Winning Team Cultures: Leadership Secrets from Sports Legends"
https://www.youtube.com/watch?v=QaosfPoPHvc,"Ron Rivera on the Keys to Visionary Leadership: Building a Thriving Culture and Driving Success"
https://www.youtube.com/watch?v=_5HPAj8R9v0,"Tara Vanderveer on Elevating Your Team: What it Means to Be a Great Teammate | WSB"
https://www.youtube.com/watch?v=nhxU6ooLj2M,"Tara VanDerveer on the Fundamentals of Championship Leadership | WSB"
https://www.youtube.com/watch?v=qmMWT7ndfdQ,"David Axelrod: How Obama Demonstrated the Way Leaders Should Handle Setbacks | WSB"
https://www.youtube.com/watch?v=6YOYXM1Mnig,"John Kerry on America's Relationship with Ukraine | WSB"
https://www.youtube.com/watch?v=6D9mHwnpXjg,"Kevin Carroll on Maintaining Your Energy to Stay Productive"
https://www.youtube.com/watch?v=zhq78DSmwBM,"Shane Battier On His Analytic Approach to Success | WSB"
https://www.youtube.com/watch?v=VgB249r_Qks,"John Kerry: Participation is the Best Antidote to Pessimism | WSB"
https://www.youtube.com/watch?v=7E2xPFVLyIU,"Kevin Carroll on How Play Can Transform Your Business"
https://www.youtube.com/watch?v=LBM4_u65g1A,"Josh Linkner Keynote Preview: Big Little Breakthroughs | WSB"
https://www.youtube.com/watch?v=25Ms285E4h8,"Chris Christie on John Adams' America | WSB"
